Gene	O1_E_1cm	O1_E_5cm	O1_K_1	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O1_S_1	O1_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O1_Tg_F_Th	O2_E_1cm	O2_E_5cm	O2_K_1	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	O2_S_1	O2_S_3	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	O2_Tg_TR	Y1_E_1cm	Y1_E_5cm	Y1_K_1	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y1_S_1	Y1_S_3	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y1_Th_TG_f	Y2_E_1cm	Y2_E_5cm	Y2_K_1	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm	Y2_S_1	Y2_S_3	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm	Y2_Tg_TR
UniRef90_A0A3E5DX34	0	0	0	5.67557	2.84628	1.57282	3.60921	5.8368	5.82786	5.81471	0	0	0	6.50613	0	0	0	0	0	0	0	4.33352	2.5469	3.82806	3.43056	2.58928	0.394042	0.184484	0	0	0	0	0	0	0	0	0	0.505534	0.392312	5.50832	0.512428	0.228857	0.649284	0.368274	0	4.67053	0	0	0	0	0	0	0	0	3.10265	1.3165	4.3778	2.48831	0.444244	1.53631	2.8953	9.14304	0	0	0	8.02398	0	0	0	0
UniRef90_A0A3E5DX60	0	0	0	2.47384	1.13986	1.07411	1.54257	2.87177	2.78009	2.23397	0	0	0	0	5.24523	0	0	0	0	0	0	4.0603	2.4708	2.89595	3.29495	2.6671	0.327537	0	0	0	0	0	0	0	0	0	0	0	0.359846	4.74693	0.171847	0.36117	0.746412	0.150521	0	5.02864	0	0	0	0	0	0	0	0	2.03858	0.838872	3.06416	1.27222	0.568798	1.11507	1.57858	0	0	0	0	0	0	0	0	0
UniRef90_A0A3E5DX63	0	0	0	6.19922	3.30594	4.94369	3.99369	5.55258	3.75592	5.28731	3.02563	0	5.28219	0	0	0	0	0	0	0	0	2.34562	1.69633	1.77947	1.72386	1.20812	0.165701	0	0	0	0	0	0	0	0	0	0	0.050787	0	0.776348	0	0	0	0.0902858	0	0	0	0	0	0	0	0	0	0	4.33365	3.36182	5.47315	3.20796	1.93207	2.84825	2.54876	0	0	0	0	0	0	0	0	0
UniRef90_A0A3E5DX98	0	0	0	5.27137	3.27451	2.46298	3.92474	7.00241	6.88528	5.3972	8.11418	0	0	0	9.32816	0	0	0	0	0	0	4.51974	3.56334	4.12358	6.14887	3.61943	0.518499	0.182247	0	0	0	0	0	0	0	0	0	0.585214	0.493908	7.09447	0.507346	0.669851	0.860202	0.697087	0	10.3605	0	0	0	0	0	0	0	0	6.75203	3.00862	9.25234	4.43838	1.38198	3.08163	3.77365	4.5025	0	5.85934	14.3818	7.92672	2.44111	0	0	0
UniRef90_A0A3E5DXA5	0	0	0	7.44184	3.54823	2.58994	4.98097	7.39076	6.6224	7.52817	0	0	4.40183	12.3575	0	0	0	0	0	0	0	7.23881	5.2297	5.6088	8.00233	5.52518	1.21332	0.285039	0	0	13.0412	0	0	0	0	0	0	0.623741	0.732997	9.34322	0.67899	1.5272	1.63871	0.45175	0	8.58535	0	0	0	0	0	0	0	0	7.3614	4.14209	11.7304	5.63931	2.06023	3.72124	5.12867	3.94681	0	4.10275	0	0	0	0	0	0
UniRef90_A0A3E5DXA6	0	0	0	6.28371	3.49357	2.37566	3.91075	6.72859	5.57855	6.00043	6.23296	6.06358	2.90176	7.40572	0	0	0	0	0	0	0	11.3421	8.07322	7.94131	9.35977	8.54554	1.03155	0.377985	0	4.38375	2.87809	0	0	0	0	0	0	0.585895	0.705033	9.18369	0.808739	1.15564	1.21607	0.391196	0	7.24336	0	0	0	0	0	0	0	0	8.13362	3.90421	11.9669	4.25122	1.97493	4.07637	4.9161	0	4.75623	0	8.87361	0	2.26382	0	0	0
UniRef90_A0A3E5DXA8	0	0	19.1755	10.7883	5.47174	6.63404	4.82808	8.61508	7.38217	9.31011	7.69448	0	8.95544	9.14223	8.84567	0	0	0	0	0	21.5394	8.21362	9.50356	11.9185	12.362	8.61292	2.74474	2.98116	0	10.8233	0	0	0	0	0	0	0	0.258313	0	3.09737	0.132571	0.3859	0.273672	0	0	2.05505	0	0	0	0	0	0	0	13.7213	29.1647	20.4427	40.3293	21.0958	15.3441	21.6281	20.0234	0	0	4.17349	13.6929	0	3.49331	0	0	0
UniRef90_A0A3E5DXA9	0	0	0	0.0631107	0.0405783	0.0479375	0.043994	0.100529	0.0979587	0.0734536	0	0	0	0	0	0	0	0	0	0	0	5.64335	3.69196	5.24432	5.964	5.8224	0.811076	0.49022	0	0	0	0	0	0	0	0	0	0.157405	0.317677	2.42372	0.37347	0.404813	0.503157	0.406002	0	2.39181	0	0	0	0	0	0	0	0	0.821636	0.428308	1.45817	0.602311	0.241119	0.431088	0.473335	0	0	0	0	0	0	0	0	0
UniRef90_A0A3E5DXB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203384	0.200695	0.0984424	0.290425	0.116219	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47128	0.17305	0.101969	0.128331	0.0607731	0	0.433212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UniRef90_A0A3E5DXB6	0	0	0	4.80466	0	0.494551	0	0.85527	0.149487	0.352344	0	0	0	0	0	0	0	0	0	0	0	0.251255	0.772914	3.53318	2.29714	3.55388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59147	0	0	0	0	0	0	0	0	0	0	0	0	0	3.45159	0.767116	5.39114	1.72471	0.771831	0.232203	1.03594	0	0	0	0	0	0	0	0	0
UniRef90_A0A3E5DXB7	0	0	9.70512	7.3489	6.0902	8.05163	5.38192	7.26015	7.00864	7.40547	7.15732	3.5838	8.79777	5.48214	4.84008	0	0	0	0	0	4.12641	11.03	7.51722	9.67221	10.6107	8.72534	1.35861	0.530957	4.72905	6.202	8.67474	0	0	0	0	0	0	0.712077	1.60704	13.8371	1.96996	2.27463	2.13988	1.83883	0	11.8907	0	0	0	0	0	0	0	0	10.2981	5.29335	13.8419	6.35391	3.14184	6.34137	7.05979	4.88825	3.85524	1.59809	0	11.1043	1.72011	0	0	0
UniRef90_A0A3E5DXC8	0	0	7.91387	4.55141	1.98263	4.0701	2.55282	4.18308	3.61559	3.61137	6.68097	0	0	8.5482	5.31963	0	0	0	0	0	0	5.90679	5.32289	6.44017	7.51681	6.31674	3.00732	1.76281	0	8.64916	0	0	0	0	0	0	0	0.258909	0.238553	4.44163	0.369594	0.351029	0.46769	0.40691	0	8.47263	0	0	0	0	0	0	0	0	17.4152	12.8828	20.6672	12.1564	8.61991	11.5524	11.2499	3.43341	3.13868	6.36053	6.40474	4.52042	1.39974	0	0	0
UniRef90_A0A3E5DXD0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147677	0.124392	0.176258	0.0968685	0.179157	0	0	0	0	0	0	0	0	0	0	0	0.0611517	0	1.00807	0.139418	0	0.139307	0	0	1.55367	0	0	0	0	0	0	0	0	2.77374	1.50312	2.28588	1.81738	1.46172	2.23662	2.43076	0	0	0	0	0	0	0	0	0
UniRef90_A0A3E5DXD2	0	0	0	0	0	0	0	0	0.0880542	0.0868794	0	0	0	0	0	0	0	0	16.8377	0	0	2.31809	2.31706	2.7397	2.52062	1.6623	0.944139	0.926841	9.78016	0	0	0	0	0	0	0	0	0.102618	1.49352	13.5017	1.79323	0.919817	1.73014	1.2843	0	20.6023	0	0	0	0	0	0	0	0	5.19189	2.0478	7.09644	3.14131	1.2506	2.19598	2.64628	0	0	0	0	0	0	0	0	0
UniRef90_A0A3E5DXD8	0	0	0	0.491329	0.480434	0.242827	0.380428	0.283756	0.303526	0.369622	0	0	0	0	0	0	0	0	0	0	2.2404	1.68511	0.899306	1.28485	1.4293	1.44525	0.151489	0.0573372	0	0	0	0	0	0	0	0	0	0.456921	1.1138	8.54986	1.4352	1.2682	1.2919	0.895321	0	8.65277	0	0	0	0	0	0	0	0	1.50782	0.605653	2.46446	0.64807	0.220412	0.534313	0.669996	0	0	0	0	0	0	0	0	0
UniRef90_A0A3E5DXD9	0	0	0	0.49139	0.328186	0.149593	0.238464	0.162793	0.326889	0.299703	0	0	0	0	0	0	0	0	0	0	0	1.6844	1.27015	1.74567	1.85974	1.41749	0.175352	0	0	0	0	0	0	0	0	0	0	0.438028	1.20206	9.00388	1.98713	1.81106	2.13421	1.45366	0	8.02931	0	0	0	0	10.5512	0	0	0	0.0963899	0	0.121995	0	0	0.0694305	0	0	0	0	0	0	0	0	0	0
UniRef90_A0A3E5DXF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0878174	0.213115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34779	0.0746515	0	0.121485	0	0	1.84781	0	0	0	0	0	0	0	0	0.226472	0.0725676	0.375935	0.146981	0	0	0.0956744	0	0	0	0	0	0	0	0	0
UniRef90_A0A3E5DXF6	0	0	0	0.18155	0.125507	0.0985939	0.241128	0.445371	0.259937	0.375199	0	0	0	0	0	0	0	0	0	0	0	1.04185	0.735501	0.778703	0.625911	0.709839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UniRef90_A0A3E5DXG5	0	0	0	0.138074	0.141923	0.0836176	0.278215	0.167876	0.308823	0.381781	0	0	0	0	0	0	0	0	0	0	0	6.01524	3.94046	5.6331	5.23644	7.21857	0.632351	0.190322	0	0	13.0425	0	0	0	0	0	0	0	0.188075	4.5724	1.00741	0.661078	0.950354	0.30197	0	10.0899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
