Metabolites,Group,O1_LI_1cm,O1_LI_10cm,O2_LI_1cm,O2_LI_10cm,Y1_LI_1cm,Y1_LI_10cm,Y2_LI_1cm,Y2_LI_10cm,O1_LI_37cm,O1_LI_46cm,O1_LI_55cm,O2_LI_37cm,O2_LI_46cm,O2_LI_55cm,Y1_LI_37cm,Y1_LI_46cm,Y1_LI_55cm,Y2_LI_37cm,Y2_LI_46cm,Y2_LI_55cm,O1_SI_81cm,O2_SI_121cm,Y1_SI_85cm,Y1_SI_113cm,Y2_SI_57cm,Y2_SI_113cm,O1_SI_161cm,O1_SI_201cm,O2_SI_145cm,Y1_SI_137cm,Y2_SI_141cm,Y2_SI_169cm,O1_LI_19cm,O1_LI_28cm,O2_LI_19cm,O2_LI_28cm,Y1_LI_19cm,Y1_LI_28cm,Y2_LI_19cm,Y2_LI_28cm,O1_SI_1cm,O1_SI_41cm,O2_SI_49cm,Y1_SI_29cm,Y2_SI_1cm,Y2_SI_29cm,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8
23-Norcholic Acid(NCA),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lithocholic acid-3-sulfate,,39.50279432,23.54202587,9.976259151,18.7147647,181.0536713,0,17579.51332,431.6398587,57.77840548,19.71193631,0,0,0,0,0,144.1277997,0,0,202.0578538,133.896121,0,36.02128447,0,0,1282.836584,4175.574144,0,0,377.745779,22.07973079,502.0579285,192.4966604,0,19.63018008,50.73239222,100.9512984,0,0,194.3016009,82.76519833,28.18284047,13.90528349,8.65195819,62.84659215,69.22494953,111.3661553,577.1453253,549.5930482,510.4394104,492.3162696,487.5561996,546.9340782,489.2799114,571.8004471
cholic acid 7 sulfate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glycocholic Acid(GCA),,109.7530424,42.49503679,4.090365019,68.15634774,16.54563134,44.80915508,55.47356909,45.59424749,7.632041126,10.7460426,9.338301977,31.70439676,0.78331543,0,27.27179281,34.68180975,1.425375594,10.55265205,38.8974515,10.42301903,0,157.1055552,0,0,7591.48834,4018.669722,0,0,4509.054693,0,1243.690403,231.7510028,9.956464821,86.40087999,5.27465958,131.7454212,6.495081549,4.216679623,69.64066052,3.372342769,30066.29757,22425.64093,21342.45214,31073.87775,21552.63343,4231.226258,3994.481035,3796.615036,3491.190419,3942.36596,4019.228484,3921.891764,3656.706685,3892.179478
glycolithocholic acid-3-sulfate,,34.34556212,0,0,0,41.8544791,0,1307.040852,163.4540492,47.76771601,0,0,0,0,0,0,60.66790894,0,0,103.9992804,102.7798166,0,271.852664,0,0,5547.665946,15907.24897,0,0,2112.499562,0,228.4324395,607.4433143,0,0,271.6170898,129.2711904,0,0,92.13998652,0,892.908329,774.5166349,238.3130127,1264.597816,173.7866303,2027.563257,828.2956904,773.0897195,847.1320038,742.5143546,716.6967628,745.5493231,676.88276,717.6489453
Chenodeoxycholic Acid Glycine Conjugate(GCDCA),,40.48945149,21.9871782,31.73112653,100.5748097,21.10306272,23.87636591,112.966433,56.73375453,37.96555125,30.76008844,10.98058172,56.57432079,22.37655473,5.655959338,10.14370609,24.48837048,8.672538026,20.5392637,42.18189116,34.69947475,0,1072.737121,7.567527075,0,359.6412929,2887.991936,0,0,6299.489932,0,576.0979496,144.1669127,20.41035185,65.71122893,176.0622787,138.5882118,13.13714487,13.92804736,76.43632446,13.38219231,15803.93366,5165.8208,2964.591376,8709.911178,7383.189553,318.1347104,1409.257932,1378.487009,1353.10667,1357.852532,1397.892325,1384.447188,1296.904502,1368.429298
Lithocholic Acid Glycine Conjugate(GLCA),,4.528508529,8.447107135,16.80399704,73.68657137,15.42255869,16.50541299,246.2174179,86.96497461,57.46346663,14.33120546,4.354887095,25.4232967,0,0,18.28466116,38.9803581,10.73342737,10.34112564,49.53810279,52.83744884,0,252.9626981,0,0,36.32706014,1063.853813,0,0,2365.662358,0,558.9653251,23.59673291,12.10405314,5.833020201,714.621408,170.6634158,13.22682307,8.006772394,14.42678386,15.56978634,905.2048586,41.09855507,45.67209766,706.6650016,1570.840526,8.332896012,230.9773888,195.2225813,200.995106,198.7407501,208.0586695,202.6070771,213.3269605,206.8154476
Glycoursodeoxycholic Acid 3 Sulfate Sodium,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glycoursodeoxycholic Acid(GUDCA),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.01248348,0,0,46.52680841,428.966756,0,0,278.7057629,0,25.32309166,17.7339644,0,0,0,0,0,0,0,0,423.5947748,156.8150224,90.99171718,171.5614036,205.0025765,11.36626322,46.38520103,40.50226203,41.01576924,38.26381731,36.51042479,39.45992879,42.18978107,39.36439643
Taurocholic Acid(TCA),,23.35674533,22.27535809,9.689214154,35.60022634,48.85683991,33.68060999,25.85928773,26.1503691,12.65235291,9.359259786,3.712825688,17.04458166,10.73879104,4.809814315,38.61388679,77.71331754,32.04403335,6.10356541,17.71786201,9.901856736,6.961660802,32.96680272,12.72403582,10.18074412,6029.434258,10990.9604,5.421016069,5.224647097,1418.894879,10.0155824,329.4814542,87.98324137,7.871086242,19.72803569,5.327494166,58.93225191,50.70706498,47.35492872,23.00259007,9.777981359,4317.054107,3245.604048,4298.58984,44445.43622,3465.224676,2037.973528,2806.126985,2543.130441,2679.949541,2603.834593,2549.073383,2534.114781,1869.45742,2582.29383
Lithocholyltaurine(TLCA),,0,0,0,263.5572945,210.5221839,142.925807,1245.595311,331.2653724,111.8831953,78.03320215,0,137.1181714,0,0,168.2610204,550.2891888,148.5191513,0,196.2366487,207.6642604,0,424.0466058,0,0,3853.453368,16121.78027,0,0,2190.907829,0,590.3919247,170.2137106,0,0,1041.245069,710.305795,166.5692671,123.7840485,236.6008978,80.37848567,1757.26362,366.7366158,288.768163,14733.80343,1484.363078,1160.954315,1259.060142,1145.167788,940.2791944,1156.858364,1067.178418,1114.624598,1010.035366,1302.492834
Taurochenodesoxycholic Acid(TCDCA),,22.88005412,11.77377172,29.69474196,94.01514661,59.1080782,24.13484246,58.97999946,33.21765004,21.30170263,14.52144378,6.15864449,60.88258369,14.52150753,6.796687877,30.92095732,65.10827929,22.918803,12.94497322,32.17763667,28.07369345,3.426709678,388.6056054,4.870006174,3.014629814,2700.305841,6897.03818,2.544618309,2.027896545,3790.121393,4.987857898,171.9545486,95.96346021,8.651693507,13.35009434,113.4217229,132.2413093,29.416961,37.06370149,68.91959739,13.19190079,4758.679727,1883.527313,3024.058202,22211.84055,2004.06811,1254.525847,1339.510677,1391.077601,1405.882641,1337.814886,1379.036661,1321.740496,1353.934092,1337.892983
Taurohyocholic Acid(THCA),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tauroursodeoxycholic Acid(TUDCA),,0,0,0,0,0,0,13.01113211,6.929976033,0,0,0,9.587315208,0,0,0,0,0,6.233752428,9.786625599,9.60503868,0,12.23419957,0,0,207.8004256,625.754122,0,0,157.310565,0,0,8.933786472,0,0,6.651496987,16.49159468,0,0,15.89746293,6.264302132,92.76737522,61.85045944,28.65715552,441.2431279,67.46329629,67.5214563,37.05398199,48.5914361,41.07826193,35.60181005,60.68227844,47.49270304,40.23262191,39.12214168
7-Ketolithocholic Acid(7-KLCA),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic Acid Glycine Conjugate(GDCA),,46.55550838,25.5939283,39.64685655,193.8871914,46.30640958,33.71519496,492.7303509,287.806952,92.36704994,65.82095222,32.01137579,103.4178449,62.68493871,18.54276831,38.14108616,67.90642622,23.70679499,97.43843782,205.3062241,165.9143887,7.889985942,847.2040758,7.284986364,2.336440736,2237.114452,7092.751644,4.149653335,2.231293353,8934.594966,0,3553.720199,529.486993,47.45384486,123.6906156,42.05303726,337.6307831,48.24248904,38.01404896,395.7043852,83.38928043,17447.33916,6427.388653,11920.61056,15854.08612,31687.46654,2351.157877,3008.448837,2974.857075,2877.718542,2785.047001,2961.630415,2903.25957,2837.111744,3028.137171
Hyodeoxycholic Acid(HDCA),,0,80.8756596,0,0,447.1129537,464.1361682,0,0,884.2713277,436.6200811,119.6686306,0,0,0,640.3515537,1009.363178,782.6449985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.2774842,0,0,593.9959043,375.9014906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyocholic Acid (HCA),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tauro-Beta-Muricholic Acid (Sodium Salt)(Beta-TMCA-Na),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.684791353,0,0,0,0,0,0.305189766,0.378422542,21.00456875,62.47506715,0,0,0,0.553763833,7.626676415,1.263508768,0,0,0,0,0,0,0,0,0,0,0,27.40486295,6.899103136,4.382225384,0,0,0,0,0,0,0,0
Glycohyocholic Acid(GCHCA),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tauro-Alpha-Muricholic Acid(Alpha-TMCA),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taurodehydrocholic acid,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glycohyodeoxycholic Acid(GHDCA),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Beta-Cholanic Acid-3Alpha-ol-6-one,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
