name	O1_Tg_F_Th	O2_Tg_TR	Y1_Th_TG_f	Y2_Tg_TR	O1_E_1cm	O1_E_5cm	O2_E_1cm	O2_E_5cm	Y1_E_1cm	Y1_E_5cm	Y2_E_1cm	Y2_E_5cm	O1_S_1	O1_S_3	O2_S_1	O2_S_3	Y1_S_1	Y1_S_3	Y2_S_1	Y2_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm
Coprococcus catus	2.00E-05	4.00E-05	0.00033	9.00E-05	0.00033	0	0.00017	0.00102	0.00015	8.00E-05	0.00034	0	2.00E-05	0	3.00E-05	6.00E-05	5.00E-05	4.00E-05	0	0	0.00263	0.00061	0.0031	0.00293	0.00296	0.00075	0.00186	0.00087	0	0.00094	0.00039	0	0.00106	0.00099	0.00051	0.00249	0.00254	0.00085	0.0037	0.00252	0.00215	0.00383	0.003	0.00292	0.00269	0.00082	0.00106	0.00063	0.0007	0.00096	0.00113	0.00116	0.00092	0.0007	0.00069	0.00066	0.00072	0.00075	0.00078	0.00147	0.00225	0.0007	0.00262	0.004	0.00215	0.0017
Coprococcus comes	3.00E-05	8.00E-05	0.00077	0.00025	0.00072	0.00055	0.00054	0.0034	0.0004	0.00019	0.00048	0	4.00E-05	0	3.00E-05	5.00E-05	0.00011	8.00E-05	1.00E-05	1.00E-05	0.00197	0.00068	0.0019	0.00181	0.00183	0.00104	0.00117	0.00211	0	0.002	0.00086	0	0.00072	0.00064	0.00026	0.00169	0.00199	0.00051	0.00207	0.00173	0.00236	0.00228	0.00172	0.0017	0.00249	0.00246	0.00421	0.00155	0.00208	0.00269	0.00188	0.00213	0.00173	0.00165	0.00156	0.00156	0.00167	0.00158	0.00196	0.00109	0.00128	0.00084	0.00198	0.00206	0.0014	0.00184
Coprococcus eutactus	2.00E-05	3.00E-05	0.00032	7.00E-05	0.00035	0	0.00018	0.0002	0	0	0.00013	0	1.00E-05	0	1.00E-05	3.00E-05	5.00E-05	2.00E-05	1.00E-05	1.00E-05	0.00108	0.00022	0.00072	0.00077	0.00082	0.00038	0.00036	0.00014	0	0.00093	0.00018	0	0.00037	0.00031	0.00019	0.00076	0.00088	0.0002	0.00066	0.00062	0.00091	0.00088	0.00112	0.00076	0.00079	0.00022	0.00022	0.00021	0.00019	0.00021	0.00034	0.00041	0.00045	0.00034	0.00065	0.00036	0.00039	0.00039	0.0004	0.00104	0.00066	0.00081	0.00091	0.00052	0.00054	0.00069
Coprococcus phoceensis	3.00E-05	4.00E-05	0.00013	0	0.00015	0.00024	7.00E-05	0.00026	0.0003	0.00011	0.00012	0	3.00E-05	0	4.00E-05	6.00E-05	9.00E-05	7.00E-05	3.00E-05	2.00E-05	0.00024	0.00015	0.00023	0.00018	0.00022	0.00012	0.0002	0.00018	0	0.00036	0.00024	0	8.00E-05	6.00E-05	7.00E-05	0.0002	0.00024	6.00E-05	0.0002	0.00017	0.0002	0.0002	0.00018	0.00018	0.00019	0.00017	0.00018	0.00012	0.00013	0.00016	0.00017	0.0002	0.00077	0.0004	0.00031	0.00036	0.00041	0.00044	0.00039	0.00023	0.00027	0.00015	0.00034	0.0004	0.00032	0.00037
Coprococcus sp. ART55/1	1.00E-05	3.00E-05	0.00118	7.00E-05	0.00104	0	0.00066	0.00047	0.00011	0	0.00018	0	2.00E-05	0	1.00E-05	2.00E-05	4.00E-05	2.00E-05	0	0	0.00105	0.00017	0.00089	0.00109	0.00093	0.00026	0.00039	0.00018	0.00077	0.00394	0.00065	0.00079	0.00036	0.00034	0.00025	0.00119	0.00098	0.00027	0.00081	0.00073	0.00123	0.00113	0.00144	0.00095	0.00099	0.00015	0.00016	0.00014	0.00013	0.00015	0.00023	0.00031	0.0004	0.00039	0.00235	0.00047	0.00052	0.00053	0.00036	0.00133	0.00077	0.00103	0.00112	0.00058	0.00058	0.00076
Corynebacterium confusum	2.00E-05	1.00E-05	0	0	0.00027	0.00083	0	0	0	0	0	0	0.0092	0.00751	2.00E-05	2.00E-05	5.00E-05	7.00E-05	1.00E-05	0	0	0.00372	0	0.00043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-05	1.00E-05	6.00E-05	1.00E-05	0	1.00E-05	0	1.00E-05	0	1.00E-05	0	1.00E-05	2.00E-05	3.00E-05	2.00E-05	3.00E-05	0	2.00E-05	2.00E-05	2.00E-05	3.00E-05	0	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Corynebacterium matruchotii	0.00205	0.00169	0.00094	0.00768	0.00013	0.0002	0.00016	0.00223	0.00035	0.00026	0.00086	0.00033	0.00036	0.00033	0.00013	0.00261	0.00012	0.00061	0.00017	8.00E-05	0	0.00029	0	0	3.00E-05	4.00E-05	3.00E-05	0.0002	0	0	0	0	6.00E-05	7.00E-05	0	0	0.00011	5.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Crassvirales sp.	0	0	0	0	0.00067	0.00174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cutibacterium acnes	4.00E-05	2.00E-05	0.00888	0.00209	0.00916	0.00264	0.00319	0.0019	0.00022	0.00037	0.00057	0.00264	1.00E-05	0	0.00033	0.0003	0.00011	2.00E-05	2.00E-05	2.00E-05	0.01001	7.00E-05	0.00143	7.00E-05	0.00034	0.00405	0.00074	0.00021	0.00374	3.00E-05	0.00354	0.00467	0	2.00E-05	1.00E-05	0.00038	0.0001	1.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	2.00E-05	3.00E-05	4.00E-05	4.00E-05	6.00E-05	2.00E-05	2.00E-05	2.00E-05	3.00E-05	1.00E-05	1.00E-05	0	1.00E-05	2.00E-05	1.00E-05	1.00E-05
Desulfovibrionaceae bacterium	2.00E-05	7.00E-05	7.00E-05	4.00E-05	0.00016	0	0	0.00011	9.00E-05	0.00011	0.00017	0	2.00E-05	0	3.00E-05	0.0001	8.00E-05	6.00E-05	3.00E-05	2.00E-05	7.00E-05	7.00E-05	5.00E-05	8.00E-05	6.00E-05	8.00E-05	7.00E-05	6.00E-05	0	7.00E-05	0	0	4.00E-05	3.00E-05	2.00E-05	9.00E-05	7.00E-05	3.00E-05	6.00E-05	7.00E-05	9.00E-05	8.00E-05	6.00E-05	6.00E-05	6.00E-05	5.00E-05	5.00E-05	6.00E-05	5.00E-05	7.00E-05	0.00013	0.00014	0.00018	0.00016	7.00E-05	0.00015	0.00015	0.00014	0.00016	6.00E-05	7.00E-05	4.00E-05	7.00E-05	8.00E-05	7.00E-05	8.00E-05
Devosia lacusdianchii	0	1.00E-05	0	5.00E-05	0.00021	0	6.00E-05	0	5.00E-05	5.00E-05	0	0	0	0	0	0	1.00E-05	2.00E-05	0	0	6.00E-05	0	5.00E-05	0	5.00E-05	3.00E-05	3.00E-05	4.00E-05	0	0	0	0.00023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0
Dialister succinatiphilus	6.00E-05	0.00024	0.00064	9.00E-05	0.00086	0.00017	0.00048	0.00025	0.00021	0	0.00014	0	4.00E-05	9.00E-05	3.00E-05	4.00E-05	0.00108	2.00E-05	1.00E-05	1.00E-05	0.0008	0.00033	0.00081	0.001	0.00082	0.00012	0.00032	7.00E-05	0	0.00171	0.00099	0	0.00033	0.00026	0.00012	0.0005	0.00069	0.00021	0.00083	0.00063	0.0008	0.00084	0.0006	0.00054	0.00047	5.00E-05	6.00E-05	6.00E-05	5.00E-05	5.00E-05	8.00E-05	9.00E-05	0.00037	0.00089	0.00142	0.00093	0.00078	0.00084	0.00096	0.00042	0.00025	0.0006	0.00046	0.00033	0.00037	0.00053
Dorea formicigenerans	3.00E-05	7.00E-05	0.00089	8.00E-05	0.00061	0.00033	0.00067	0.00276	0.00028	0	0.00032	0	3.00E-05	0	3.00E-05	4.00E-05	0.0001	7.00E-05	2.00E-05	1.00E-05	0.00119	0.00036	0.00139	0.00133	0.00137	0.00063	0.00066	0.00159	0.00158	0.00487	0.00104	0.00077	0.00047	0.0004	0.00014	0.00095	0.0012	0.00031	0.00145	0.00116	0.00227	0.00139	0.0009	0.00119	0.00115	0.00172	0.00224	0.00089	0.00123	0.00191	0.00221	0.00302	0.00103	0.00086	0.00176	0.00079	0.00089	0.00087	0.00093	0.00047	0.0005	0.00043	0.00082	0.00075	0.00059	0.00072
Dorea longicatena	5.00E-05	0.00013	0.00194	0.0007	0.00148	0.00079	0.00126	0.00433	0.00114	0.00026	0.00199	0	6.00E-05	0	4.00E-05	8.00E-05	0.00016	0.00011	2.00E-05	2.00E-05	0.00296	0.00112	0.00292	0.003	0.00306	0.00157	0.00297	0.00264	0.00348	0.01249	0.00373	0.00232	0.00127	0.00119	0.00065	0.0029	0.00292	0.00092	0.00325	0.00282	0.00261	0.00404	0.0026	0.00342	0.00321	0.00289	0.00406	0.00131	0.00207	0.00276	0.00396	0.0046	0.00249	0.00493	0.00378	0.00521	0.00475	0.00399	0.00312	0.00153	0.00199	0.00168	0.0051	0.00558	0.00288	0.00348
