name	O1_Tg_F_Th	O2_Tg_TR	Y1_Th_TG_f	Y2_Tg_TR	O1_E_1cm	O1_E_5cm	O2_E_1cm	O2_E_5cm	Y1_E_1cm	Y1_E_5cm	Y2_E_1cm	Y2_E_5cm	O1_S_1	O1_S_3	O2_S_1	O2_S_3	Y1_S_1	Y1_S_3	Y2_S_1	Y2_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm
Palleronia sp. LCG004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0
Palleronia sp. THAF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	0	1.00E-05	0	0	0	0	0	0	0
Paludibacterium paludis	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	2.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	1.00E-05	1.00E-05	0	0	0	0	0	1.00E-05	0	0	1.00E-05	1.00E-05	2.00E-05	2.00E-05	0	2.00E-05	2.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Paludibacterium yongneupense	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	2.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	0	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	3.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Paludibaculum fermentans	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	1.00E-05	1.00E-05	1.00E-05	0	0	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Paludicola sp. MB14-C6	1.00E-05	2.00E-05	0	0	0	0	0	0.00017	0.0001	0.0001	0	0	2.00E-05	0	3.00E-05	4.00E-05	4.00E-05	5.00E-05	0	0	3.00E-05	5.00E-05	5.00E-05	3.00E-05	3.00E-05	8.00E-05	5.00E-05	4.00E-05	0	3.00E-05	0	0	2.00E-05	2.00E-05	1.00E-05	4.00E-05	3.00E-05	1.00E-05	3.00E-05	5.00E-05	5.00E-05	4.00E-05	4.00E-05	4.00E-05	4.00E-05	5.00E-05	4.00E-05	6.00E-05	4.00E-05	6.00E-05	8.00E-05	9.00E-05	0.00016	0.00012	3.00E-05	0.00012	0.00013	0.00013	0.00014	3.00E-05	5.00E-05	2.00E-05	4.00E-05	6.00E-05	5.00E-05	6.00E-05
Paludisphaera borealis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	2.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	0	0	1.00E-05	1.00E-05	1.00E-05
Panacibacter ginsenosidivorans	0	1.00E-05	0	0	0	0	0	0	6.00E-05	4.00E-05	0	0	0	0	1.00E-05	2.00E-05	1.00E-05	2.00E-05	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	3.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Pandoraea apista	0	0	0	0	0	0	5.00E-05	0	0	0	0	0	0	0	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	3.00E-05	3.00E-05	0	3.00E-05	3.00E-05	3.00E-05	3.00E-05	0	1.00E-05	0	0	1.00E-05	0	1.00E-05
Pandoraea commovens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05	0	1.00E-05	0	0	0	0	0	0	0	1.00E-05	0	0
Pandoraea faecigallinarum	0	0	0	0	0	0	6.00E-05	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	1.00E-05	0	0	0	0	1.00E-05	0	1.00E-05
Pandoraea fibrosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Pandoraea norimbergensis	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	2.00E-05	1.00E-05	0	0	1.00E-05	1.00E-05	0	0	0	0	0	0	2.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Pandoraea oxalativorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	2.00E-05	2.00E-05	0	1.00E-05	1.00E-05	2.00E-05	2.00E-05	0	0	0	0	0	0	0
Pandoraea pnomenusa	1.00E-05	1.00E-05	0	0	0	0	0.00025	0	0	9.00E-05	0	0	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	2.00E-05	0	0	0	0	0	0	0	0	2.00E-05	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	3.00E-05	3.00E-05	2.00E-05	2.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	2.00E-05	1.00E-05	1.00E-05
Pandoraea pulmonicola	0	1.00E-05	0	0	0	0	4.00E-05	0	0	0	0	0	0	0	1.00E-05	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0
Pandoraea sp. NE5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pandoraea sp. XY-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	1.00E-05	0	0	1.00E-05	1.00E-05	0	1.00E-05	0	0	0
Pandoraea sputorum	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	1.00E-05	1.00E-05	1.00E-05	3.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0
Pandoraea thiooxydans	0	0	0	0	0	0	6.00E-05	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0
Pandoraea vervacti	0	0	0	0	0	0	0	0	0	6.00E-05	0	0	1.00E-05	0	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	1.00E-05	0	0
Pannonibacter phragmitetus	1.00E-05	3.00E-05	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	1.00E-05	0	2.00E-05	2.00E-05	3.00E-05	2.00E-05	0	0	0	0	0	0	0	0	0	5.00E-05	0	0	0	0	0	0	0	0	3.00E-05	3.00E-05	2.00E-05	3.00E-05	3.00E-05	3.00E-05	3.00E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	3.00E-05	5.00E-05	5.00E-05	5.00E-05	5.00E-05	3.00E-05	5.00E-05	4.00E-05	5.00E-05	8.00E-05	3.00E-05	3.00E-05	3.00E-05	3.00E-05	3.00E-05	3.00E-05	3.00E-05
Pantoea agglomerans	0.0002	6.00E-05	0	0.0002	0	0	0	0	0.00033	0.00054	0	0	0.00028	0	0.00029	0.00011	0.00012	0.00026	3.00E-05	2.00E-05	6.00E-05	0.00036	0	0	0.0001	0	7.00E-05	0.0001	0	9.00E-05	0	0	0	0	3.00E-05	0	0.00012	3.00E-05	4.00E-05	5.00E-05	0.00014	5.00E-05	4.00E-05	4.00E-05	4.00E-05	0.0001	7.00E-05	0.00011	0.0001	0.00011	0.00013	0.00013	0.00024	0.00022	6.00E-05	0.00023	0.00021	0.00018	0.00018	5.00E-05	9.00E-05	4.00E-05	7.00E-05	9.00E-05	7.00E-05	7.00E-05
Pantoea alfalfae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantoea alhagi	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	2.00E-05	1.00E-05	2.00E-05	6.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	3.00E-05	0	0	2.00E-05	0	0	0	0	1.00E-05	0	0	0	1.00E-05	2.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Pantoea ananatis	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	1.00E-05	2.00E-05	4.00E-05	5.00E-05	2.00E-05	1.00E-05	0	0	0	0	0	0	7.00E-05	7.00E-05	0	1.00E-05	0	0	0	0	0	0	0	0	1.00E-05	2.00E-05	3.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	7.00E-05	4.00E-05	8.00E-05	8.00E-05	7.00E-05	3.00E-05	2.00E-05	2.00E-05	3.00E-05	1.00E-05	5.00E-05	3.00E-05	3.00E-05	3.00E-05	2.00E-05	4.00E-05	2.00E-05	2.00E-05	6.00E-05	2.00E-05	3.00E-05
Pantoea anthophila	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	1.00E-05	0	0	2.00E-05	0	0	2.00E-05	0	4.00E-05	0	3.00E-05	0	0	0	0	1.00E-05	0	0	0	1.00E-05	0	0	0	1.00E-05	2.00E-05	3.00E-05	1.00E-05	3.00E-05	2.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Pantoea cypripedii	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	4.00E-05	0	0	0	0	0	0	0	0	2.00E-05	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	0	1.00E-05	2.00E-05	2.00E-05	2.00E-05
Pantoea deleyi	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	2.00E-05	1.00E-05	1.00E-05	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0
Pantoea ferramans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantoea phytobeneficialis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	0	1.00E-05	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0
Pantoea piersonii	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	2.00E-05	1.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	2.00E-05	2.00E-05
Pantoea rwandensis	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	4.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	2.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	1.00E-05	1.00E-05	2.00E-05	2.00E-05	2.00E-05	1.00E-05	0	2.00E-05	2.00E-05	1.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Pantoea septica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantoea sp. At-9b	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	3.00E-05	2.00E-05	1.00E-05	3.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	2.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	0	0	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0
Pantoea sp. BJ2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	2.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0
Pantoea sp. BRR-3P	0	1.00E-05	0	0	0	0	0	0	0.00014	9.00E-05	0	0	1.00E-05	0	2.00E-05	1.00E-05	1.00E-05	6.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	5.00E-05	0	0	2.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	2.00E-05	1.00E-05	2.00E-05
Pantoea sp. CCBC3-3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-05	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05
Pantoea sp. Ep11b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-05	1.00E-05	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantoea sp. JZ29	0	2.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	6.00E-05	2.00E-05	0	0	3.00E-05	3.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantoea sp. Lij88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantoea sp. Nvir	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	0	0	0	0	0	0	1.00E-05
Pantoea sp. S18	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	2.00E-05	0	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantoea sp. SO10	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	2.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantoea sp. SOD02	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-05	1.00E-05	0	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	3.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	1.00E-05	0	0
Pantoea sp. SS70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0
Pantoea sp. Z09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	2.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0
Pantoea stewartii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	2.00E-05	0	3.00E-05	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	2.00E-05	1.00E-05
Pantoea vagans	2.00E-05	2.00E-05	0	0	0	0	0	0	0	0	0	0	2.00E-05	0	3.00E-05	1.00E-05	2.00E-05	6.00E-05	1.00E-05	1.00E-05	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	2.00E-05	0.00012	5.00E-05	3.00E-05	3.00E-05	4.00E-05	3.00E-05	3.00E-05	2.00E-05	2.00E-05	1.00E-05	2.00E-05	2.00E-05	2.00E-05	1.00E-05
Parabacteroides chinchillae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides gordonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides sp. CT06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011	0	0	0	0	0	0	0	0	4.00E-05	3.00E-05	4.00E-05	4.00E-05	3.00E-05	5.00E-05	4.00E-05	6.00E-05	7.00E-05	0.0001	7.00E-05	9.00E-05	0.00014	0.00017	6.00E-05	7.00E-05	9.00E-05	7.00E-05	9.00E-05	0.0001	8.00E-05	0.00014	0.00013	0.0001	0.0001	0.00015	0.0001	0.00014
Paraburkholderia acidiphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	2.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Paraburkholderia acidisoli	0	0	0	0	0	0	4.00E-05	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	4.00E-05	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	3.00E-05	2.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05
Paraburkholderia aromaticivorans	0	0	0	0	0	0	9.00E-05	0	0	0	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	2.00E-05	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	1.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	2.00E-05	2.00E-05	3.00E-05	2.00E-05	2.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	2.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
