name	O1_E_1cm	O1_E_5cm	O1_K_1	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O1_S_1	O1_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O1_Tg_F_Th	O2_E_1cm	O2_E_5cm	O2_K_1	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	O2_S_1	O2_S_3	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	O2_Tg_TR	Y1_E_1cm	Y1_E_5cm	Y1_K_1	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y1_S_1	Y1_S_3	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y1_Th_TG_f	Y2_E_1cm	Y2_E_5cm	Y2_K_1	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm	Y2_S_1	Y2_S_3	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm
Rhodothermota	0.0	0.00028	5e-05	8e-05	8e-05	9e-05	9e-05	7e-05	0.0001	8e-05	3e-05	0.0	9e-05	0.00016	0.00011	0.00014	8e-05	2e-05	7e-05	0.0	0.00016	0.00015	7e-05	0.00018	7e-05	9e-05	0.00037	0.00022	0.00017	0.0001	2e-05	8e-05	0.00018	0.00014	0.0001	7e-05	8e-05	0.00041	0.00038	0.00015	0.00036	0.00035	0.00032	0.0004	7e-05	8e-05	0.0	0.00011	0.0	0.0	8e-05	0.0001	0.0	0.00014	0.00015	0.0002	5e-05	0.00017	0.00012	0.00011	0.00022	5e-05	4e-05	7e-05	3e-05	2e-05	8e-05	9e-05	5e-05
Aquificota	0.0	0.0	5e-05	8e-05	5e-05	0.00019	9e-05	3e-05	4e-05	7e-05	3e-05	0.0	8e-05	8e-05	8e-05	8e-05	5e-05	2e-05	4e-05	0.00014	0.00016	7e-05	6e-05	8e-05	8e-05	0.00011	0.00021	0.00031	5e-05	7e-05	6e-05	6e-05	9e-05	4e-05	0.00012	7e-05	0.0	0.00028	0.00031	7e-05	0.00031	0.00031	0.00029	0.00031	4e-05	6e-05	0.0	4e-05	0.00015	0.0	0.0	0.00036	0.0	0.00021	9e-05	0.00013	6e-05	0.0001	0.00024	0.00022	0.00011	2e-05	1e-05	3e-05	1e-05	3e-05	5e-05	0.00013	2e-05
Armatimonadota	0.0	0.0	0.00012	9e-05	0.00011	8e-05	0.00011	8e-05	0.0001	9e-05	4e-05	8e-05	8e-05	0.0001	9e-05	0.0001	9e-05	2e-05	3e-05	0.0001	0.00023	7e-05	8e-05	0.00011	8e-05	0.00011	0.00031	0.00033	5e-05	7e-05	7e-05	0.0001	0.00012	5e-05	0.00012	9e-05	6e-05	0.00023	0.00025	6e-05	0.00023	0.00023	0.00022	0.00025	8e-05	5e-05	0.0	6e-05	0.00013	0.0	0.0	8e-05	0.0	0.00023	8e-05	0.00012	5e-05	0.00011	0.00015	0.00012	0.00012	2e-05	2e-05	6e-05	3e-05	2e-05	0.00011	9e-05	3e-05
Candidatus Melainabacteria	0.0	0.0	0.00092	0.0001	0.00013	0.00016	0.00011	0.0001	8e-05	9e-05	1e-05	0.0	0.00023	0.00013	0.00045	0.00013	0.00015	1e-05	4e-05	0.00032	0.00047	0.00043	0.00047	0.00086	0.00055	0.00054	0.00049	0.00036	2e-05	4e-05	0.00033	0.00046	0.00036	3e-05	0.00018	8e-05	8e-05	0.0006	0.00071	0.00011	0.00084	0.00056	0.00049	0.00036	7e-05	3e-05	0.0	8e-05	0.00022	0.0	0.0	0.00043	0.0	0.00041	0.00062	0.00169	0.00033	0.00091	0.00202	0.00108	0.00146	2e-05	2e-05	8e-05	5e-05	0.00019	0.00043	0.00025	8e-05
Chlamydiota	0.0	0.0	8e-05	6e-05	9e-05	8e-05	8e-05	7e-05	7e-05	6e-05	6e-05	0.0	7e-05	6e-05	9e-05	4e-05	7e-05	3e-05	3e-05	8e-05	8e-05	5e-05	6e-05	7e-05	6e-05	6e-05	0.00012	0.00012	6e-05	7e-05	3e-05	7e-05	6e-05	4e-05	8e-05	7e-05	3e-05	0.00014	0.00014	5e-05	0.00014	0.00014	0.00014	0.00013	7e-05	6e-05	0.0	5e-05	0.0	0.0	0.0	0.00015	0.0	0.0001	7e-05	0.00011	4e-05	8e-05	0.00014	0.00011	0.0001	4e-05	3e-05	4e-05	3e-05	3e-05	7e-05	6e-05	3e-05
Deferribacterota	0.0	0.0	6e-05	4e-05	9e-05	0.00014	4e-05	6e-05	4e-05	3e-05	6e-05	0.0	6e-05	5e-05	7e-05	7e-05	4e-05	1e-05	0.0	9e-05	0.00012	8e-05	9e-05	0.00011	9e-05	0.00011	8e-05	9e-05	7e-05	4e-05	4e-05	6e-05	6e-05	6e-05	0.00011	7e-05	0.0	0.00037	0.00013	7e-05	0.00012	0.00013	0.00012	0.00012	6e-05	4e-05	0.0	4e-05	0.00015	0.0	0.0	0.00018	0.0	6e-05	7e-05	9e-05	5e-05	0.00011	0.00016	0.00013	0.00012	1e-05	1e-05	5e-05	2e-05	4e-05	5e-05	8e-05	3e-05
Fibrobacterota	0.0	0.0	0.00011	4e-05	5e-05	5e-05	6e-05	5e-05	5e-05	5e-05	2e-05	0.0	7e-05	3e-05	0.0001	3e-05	4e-05	1e-05	0.0	0.0	0.00013	4e-05	6e-05	7e-05	5e-05	7e-05	0.00016	0.00012	2e-05	3e-05	4e-05	9e-05	9e-05	2e-05	0.0	0.0	0.0	0.00017	0.00013	3e-05	0.00013	0.00013	0.00013	0.00013	1e-05	1e-05	0.0	4e-05	0.0	0.0	0.0	0.0	0.0	0.0001	0.00017	0.00033	5e-05	0.00022	0.00032	0.00025	0.00022	1e-05	1e-05	2e-05	3e-05	5e-05	5e-05	6e-05	2e-05
Abditibacteriota	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05
Atribacterota	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	2e-05	1e-05	3e-05	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	4e-05	2e-05	1e-05	2e-05	2e-05	2e-05	1e-05	2e-05	1e-05	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	1e-05
Balneolota	0.0	0.0	0.0	8e-05	0.0001	0.00015	9e-05	8e-05	8e-05	8e-05	2e-05	0.0	0.00012	3e-05	9e-05	4e-05	0.0001	1e-05	0.0	0.0	4e-05	2e-05	3e-05	3e-05	3e-05	3e-05	4e-05	5e-05	2e-05	4e-05	0.0	3e-05	4e-05	2e-05	7e-05	6e-05	0.0	0.0001	6e-05	4e-05	6e-05	6e-05	5e-05	5e-05	9e-05	4e-05	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	4e-05	4e-05	5e-05	9e-05	4e-05	5e-05	4e-05	4e-05	1e-05	2e-05	2e-05	4e-05	1e-05	0.00011	4e-05	1e-05
Caldisericota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	4e-05	3e-05	1e-05	3e-05	2e-05	2e-05	3e-05	1e-05	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Absconditabacteria	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	1e-05	0.0	9e-05	0.0	0.0	8e-05	0.0	0.0	0.0	9e-05	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	1e-05	1e-05	0.0001	0.00012	0.0	0.0	0.0	7e-05	0.0	8e-05	0.0	4e-05	8e-05	1e-05	8e-05	8e-05	8e-05	5e-05	0.00013	2e-05	0.0	1e-05	0.0	0.0	0.0	0.00011	0.0	0.0	1e-05	1e-05	0.0	1e-05	1e-05	1e-05	1e-05	2e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Aerophobetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Aminicenantota	0.0	0.0	0.0	8e-05	5e-05	4e-05	4e-05	9e-05	4e-05	3e-05	1e-05	0.0	4e-05	2e-05	6e-05	4e-05	5e-05	1e-05	0.0	0.0	6e-05	1e-05	2e-05	2e-05	2e-05	2e-05	3e-05	4e-05	2e-05	6e-05	0.0	2e-05	2e-05	6e-05	0.0	0.0	0.0	5e-05	4e-05	2e-05	3e-05	4e-05	4e-05	7e-05	3e-05	1e-05	0.0	2e-05	0.0	0.0	0.0	6e-05	0.0	0.0	2e-05	7e-05	1e-05	2e-05	3e-05	3e-05	2e-05	4e-05	3e-05	2e-05	3e-05	2e-05	5e-05	7e-05	2e-05
Candidatus Auribacterota	0.0	0.0	0.0	1e-05	1e-05	3e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	0.0	1e-05	1e-05	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	2e-05	0.0	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Beckwithbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Berkelbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	0.0	0.0	1e-05	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Binatota	0.0	0.0	0.0	3e-05	4e-05	3e-05	4e-05	3e-05	8e-05	7e-05	5e-05	0.0	3e-05	2e-05	8e-05	3e-05	4e-05	3e-05	0.0	8e-05	8e-05	3e-05	3e-05	4e-05	3e-05	4e-05	0.0001	0.00012	4e-05	5e-05	4e-05	4e-05	4e-05	3e-05	6e-05	8e-05	3e-05	0.00014	0.0001	4e-05	9e-05	0.0001	9e-05	0.0001	6e-05	3e-05	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	5e-05	4e-05	5e-05	3e-05	5e-05	6e-05	6e-05	6e-05	3e-05	1e-05	2e-05	2e-05	2e-05	7e-05	5e-05	2e-05
Candidatus Bipolaricaulota	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	5e-05	1e-05	1e-05	2e-05	1e-05	1e-05	3e-05	4e-05	1e-05	1e-05	0.0	0.0	2e-05	1e-05	0.0	0.0	0.0	3e-05	2e-05	0.0	2e-05	2e-05	2e-05	3e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Campbellbacteria	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Coatesiibacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	2e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	5e-05	2e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Delongiibacteriota	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	3e-05	4e-05	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	4e-05	2e-05	1e-05	2e-05	2e-05	2e-05	2e-05	1e-05	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Eiseniibacteriota	0.0	0.0	0.0	3e-05	4e-05	1e-05	3e-05	3e-05	3e-05	3e-05	0.0	0.0	2e-05	0.0	4e-05	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	1e-05
Candidatus Falkowbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	0.0	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Fervidibacterota	0.0	0.0	0.0	3e-05	4e-05	1e-05	4e-05	4e-05	3e-05	3e-05	0.0	0.0	3e-05	0.0	4e-05	7e-05	4e-05	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	1e-05	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	2e-05	1e-05	1e-05	1e-05	2e-05	1e-05	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	0.0	0.0	2e-05	1e-05	0.0	0.0	0.0	1e-05
Candidatus Giovannonibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Gracilibacteria	0.0	0.0	0.0	2e-05	3e-05	3e-05	2e-05	1e-05	2e-05	2e-05	7e-05	0.0	0.0	6e-05	0.0	3e-05	0.0	7e-05	0.0	0.0	0.0	2e-05	2e-05	2e-05	2e-05	2e-05	6e-05	6e-05	0.00037	0.00022	3e-05	2e-05	4e-05	0.00016	0.0001	0.00013	0.0	7e-05	5e-05	2e-05	5e-05	6e-05	6e-05	6e-05	6e-05	7e-05	0.0	4e-05	0.0	0.0	0.00016	0.00173	0.00102	0.0	3e-05	4e-05	2e-05	3e-05	4e-05	4e-05	4e-05	7e-05	6e-05	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Hydrogenedentota	0.0	0.0	0.0	2e-05	3e-05	2e-05	2e-05	2e-05	2e-05	2e-05	1e-05	0.0	0.0	0.0	3e-05	3e-05	2e-05	1e-05	0.0	0.0	5e-05	2e-05	2e-05	2e-05	2e-05	2e-05	7e-05	7e-05	2e-05	2e-05	0.0	2e-05	3e-05	2e-05	0.0	0.0	0.0	5e-05	4e-05	1e-05	4e-05	4e-05	4e-05	4e-05	2e-05	1e-05	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	7e-05	2e-05	2e-05	1e-05	2e-05	3e-05	3e-05	3e-05	0.0	0.0	1e-05	1e-05	0.0	4e-05	4e-05	1e-05
Candidatus Kaiserbacteria	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	1e-05	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Krumholzibacteriota	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	3e-05	0.0	1e-05	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	2e-05	2e-05	0.0	2e-05	2e-05	1e-05	2e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Latescibacterota	0.0	0.0	0.0	5e-05	6e-05	6e-05	6e-05	4e-05	5e-05	5e-05	4e-05	0.0	6e-05	5e-05	7e-05	3e-05	4e-05	3e-05	0.0	8e-05	0.0001	5e-05	6e-05	6e-05	5e-05	7e-05	0.00016	0.00017	5e-05	5e-05	4e-05	6e-05	6e-05	4e-05	8e-05	0.0	3e-05	0.00014	0.00014	5e-05	0.00014	0.00013	0.00013	0.00015	6e-05	4e-05	0.0	5e-05	0.0	0.0	0.0	8e-05	0.0	9e-05	5e-05	8e-05	3e-05	7e-05	0.00011	9e-05	8e-05	2e-05	1e-05	3e-05	2e-05	1e-05	4e-05	7e-05	2e-05
Candidatus Levyibacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Methylomirabilota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	0.0	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
